Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Auth Internal Data,Chrome 115.0.0.0,,,2023-08-13 14:14:21,2023-08-13 14:14:54,32.708s,PASSED
,,,,,,,
Test Cases/Auth Test/Form Auth Data Driven,Chrome 115.0.0.0,,,2023-08-13 14:14:21,2023-08-13 14:14:33,11.743s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-13 14:14:22,2023-08-13 14:14:24,2.525s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 115.0.0.0,,,2023-08-13 14:14:24,2023-08-13 14:14:28,4.167s,PASSED
"click(findTestObject(""Object Repository/Auth Page/a_Form Authentication""))",Chrome 115.0.0.0,,,2023-08-13 14:14:28,2023-08-13 14:14:29,1.177s,PASSED
"setText(findTestObject(""Object Repository/Auth Page/input_Username_username""), tcUname)",Chrome 115.0.0.0,,,2023-08-13 14:14:29,2023-08-13 14:14:30,0.739s,PASSED
"setText(findTestObject(""Object Repository/Auth Page/input_Password_password""), tcPassword)",Chrome 115.0.0.0,,,2023-08-13 14:14:30,2023-08-13 14:14:31,0.729s,PASSED
"click(findTestObject(""Object Repository/Auth Page/i_Login""))",Chrome 115.0.0.0,,,2023-08-13 14:14:31,2023-08-13 14:14:32,1.012s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Auth Page/h4_Welcome to the Secure Area. When you are_5c73fc""))",Chrome 115.0.0.0,,,2023-08-13 14:14:32,2023-08-13 14:14:32,0.380s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-13 14:14:32,2023-08-13 14:14:33,0.646s,PASSED
,,,,,,,
Test Cases/Auth Test/Form Auth Data Driven,Chrome 115.0.0.0,,,2023-08-13 14:14:33,2023-08-13 14:14:43,10.020s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-13 14:14:33,2023-08-13 14:14:34,1.158s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 115.0.0.0,,,2023-08-13 14:14:34,2023-08-13 14:14:38,4.177s,PASSED
"click(findTestObject(""Object Repository/Auth Page/a_Form Authentication""))",Chrome 115.0.0.0,,,2023-08-13 14:14:38,2023-08-13 14:14:39,1.139s,PASSED
"setText(findTestObject(""Object Repository/Auth Page/input_Username_username""), tcUname)",Chrome 115.0.0.0,,,2023-08-13 14:14:39,2023-08-13 14:14:40,0.744s,PASSED
"setText(findTestObject(""Object Repository/Auth Page/input_Password_password""), tcPassword)",Chrome 115.0.0.0,,,2023-08-13 14:14:40,2023-08-13 14:14:41,0.772s,PASSED
"click(findTestObject(""Object Repository/Auth Page/i_Login""))",Chrome 115.0.0.0,,,2023-08-13 14:14:41,2023-08-13 14:14:42,1.021s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Auth Page/h4_Welcome to the Secure Area. When you are_5c73fc""))",Chrome 115.0.0.0,,,2023-08-13 14:14:42,2023-08-13 14:14:42,0.365s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-13 14:14:42,2023-08-13 14:14:43,0.629s,PASSED
,,,,,,,
Test Cases/Auth Test/Form Auth Data Driven,Chrome 115.0.0.0,,,2023-08-13 14:14:43,2023-08-13 14:14:54,10.545s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-13 14:14:43,2023-08-13 14:14:44,1.210s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 115.0.0.0,,,2023-08-13 14:14:44,2023-08-13 14:14:49,4.639s,PASSED
"click(findTestObject(""Object Repository/Auth Page/a_Form Authentication""))",Chrome 115.0.0.0,,,2023-08-13 14:14:49,2023-08-13 14:14:50,1.199s,PASSED
"setText(findTestObject(""Object Repository/Auth Page/input_Username_username""), tcUname)",Chrome 115.0.0.0,,,2023-08-13 14:14:50,2023-08-13 14:14:51,0.743s,PASSED
"setText(findTestObject(""Object Repository/Auth Page/input_Password_password""), tcPassword)",Chrome 115.0.0.0,,,2023-08-13 14:14:51,2023-08-13 14:14:51,0.712s,PASSED
"click(findTestObject(""Object Repository/Auth Page/i_Login""))",Chrome 115.0.0.0,,,2023-08-13 14:14:51,2023-08-13 14:14:53,1.041s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Auth Page/h4_Welcome to the Secure Area. When you are_5c73fc""))",Chrome 115.0.0.0,,,2023-08-13 14:14:53,2023-08-13 14:14:53,0.354s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-13 14:14:53,2023-08-13 14:14:54,0.635s,PASSED
